Ind1	Ind2	Value
0	0	1
0	105	0.5
0	213	0.5
0	338	0.5
0	395	0.5
0	439	0.5
0	475	0.5
0	476	0.5
0	521	0.5
0	523	0.5
0	552	0.5
0	966	0.5
0	1058	0.5
0	1115	0.5
0	1404	0.5
0	1525	0.5
0	1739	0.5
0	1766	0.5
0	1879	0.5
0	1931	0.5
0	2056	0.5
1	1	1
1	100	0.5
1	193	0.5
1	289	0.5
1	343	0.5
1	362	0.5
1	382	0.5
1	482	0.5
1	667	0.5
1	799	0.5
1	866	0.5
1	871	0.5
1	931	0.5
1	968	0.5
1	1037	0.5
1	1065	0.5
1	1134	0.5
1	1299	0.5
1	1340	0.5
1	1360	0.5
1	2007	0.5
2	2	1
2	172	0.5
2	400	0.5
2	483	0.5
2	568	0.5
2	791	0.5
2	855	0.5
2	892	0.5
2	975	0.5
2	1056	0.5
2	1068	0.5
2	1225	0.5
2	1252	0.5
2	1328	0.5
2	1346	0.5
2	1348	0.5
2	1350	0.5
2	1526	0.5
2	1627	0.5
2	1685	0.5
2	1898	0.5
3	3	1
3	278	0.5
3	350	0.5
3	530	0.5
3	543	0.5
3	685	0.5
3	748	0.5
3	779	0.5
3	907	0.5
3	927	0.5
3	957	0.5
3	1012	0.5
3	1428	0.5
3	1465	0.5
3	1484	0.5
3	1503	0.5
3	1508	0.5
3	1584	0.5
3	1656	0.5
3	1801	0.5
3	1822	0.5
4	4	1
4	188	0.5
4	505	0.5
4	527	0.5
4	570	0.5
4	655	0.5
4	1066	0.5
4	1217	0.5
4	1251	0.5
4	1304	0.5
4	1438	0.5
4	1473	0.5
4	1588	0.5
4	1621	0.5
4	1647	0.5
4	1787	0.5
4	1849	0.5
4	1908	0.5
4	1951	0.5
4	2000	0.5
4	2096	0.5
5	5	1
5	166	0.5
5	187	0.5
5	254	0.5
5	542	0.5
5	899	0.5
5	1002	0.5
5	1107	0.5
5	1121	0.5
5	1162	0.5
5	1272	0.5
5	1454	0.5
5	1665	0.5
5	1715	0.5
5	1870	0.5
5	1885	0.5
5	1886	0.5
5	1959	0.5
5	1962	0.5
5	2066	0.5
5	2094	0.5
6	6	1
6	180	0.5
6	436	0.5
6	504	0.5
6	880	0.5
6	1041	0.5
6	1091	0.5
6	1142	0.5
6	1145	0.5
6	1165	0.5
6	1212	0.5
6	1221	0.5
6	1253	0.5
6	1368	0.5
6	1433	0.5
6	1574	0.5
6	1614	0.5
6	1663	0.5
6	1672	0.5
6	1772	0.5
6	1848	0.5
7	7	1
7	182	0.5
7	295	0.5
7	424	0.5
7	507	0.5
7	633	0.5
7	638	0.5
7	665	0.5
7	744	0.5
7	879	0.5
7	902	0.5
7	1181	0.5
7	1261	0.5
7	1371	0.5
7	1458	0.5
7	1581	0.5
