ID	Group	Init. Comp.	It	Rt
Ind0	NA	NA	NA	NA
Ind1	NA	NA	NA	NA
Ind2	NA	NA	NA	NA
Ind3	NA	NA	NA	NA
Ind4	NA	NA	NA	NA
Ind5	NA	NA	NA	NA
Ind6	NA	NA	NA	NA
Ind7	NA	NA	NA	NA
Ind8	NA	NA	NA	NA
Ind9	NA	NA	NA	NA
Ind10	NA	NA	NA	NA
Ind11	NA	NA	NA	NA
Ind12	NA	NA	NA	NA
Ind13	NA	NA	NA	NA
Ind14	NA	NA	NA	NA
Ind15	NA	NA	NA	NA
Ind16	NA	NA	NA	NA
Ind17	NA	NA	NA	NA
Ind18	NA	NA	NA	NA
Ind19	NA	NA	NA	NA
Ind20	NA	NA	NA	NA
Ind21	NA	NA	NA	NA
Ind22	NA	NA	NA	NA
Ind23	NA	NA	NA	NA
Ind24	NA	NA	NA	NA
Ind25	NA	NA	NA	NA
Ind26	NA	NA	NA	NA
Ind27	NA	NA	NA	NA
Ind28	NA	NA	NA	NA
Ind29	NA	NA	NA	NA
Ind30	NA	NA	NA	NA
Ind31	NA	NA	NA	NA
Ind32	NA	NA	NA	NA
Ind33	NA	NA	NA	NA
Ind34	NA	NA	NA	NA
Ind35	NA	NA	NA	NA
Ind36	NA	NA	NA	NA
Ind37	NA	NA	NA	NA
Ind38	NA	NA	NA	NA
Ind39	NA	NA	NA	NA
Ind40	NA	NA	NA	NA
Ind41	NA	NA	NA	NA
Ind42	NA	NA	NA	NA
Ind43	NA	NA	NA	NA
Ind44	NA	NA	NA	NA
Ind45	NA	NA	NA	NA
Ind46	NA	NA	NA	NA
Ind47	NA	NA	NA	NA
Ind48	NA	NA	NA	NA
Ind49	NA	NA	NA	NA
Ind50	NA	NA	NA	NA
Ind51	NA	NA	NA	NA
Ind52	NA	NA	NA	NA
Ind53	NA	NA	NA	NA
Ind54	NA	NA	NA	NA
Ind55	NA	NA	NA	NA
Ind56	NA	NA	NA	NA
Ind57	NA	NA	NA	NA
Ind58	NA	NA	NA	NA
Ind59	NA	NA	NA	NA
Ind60	NA	NA	NA	NA
Ind61	NA	NA	NA	NA
Ind62	NA	NA	NA	NA
Ind63	NA	NA	NA	NA
Ind64	NA	NA	NA	NA
Ind65	NA	NA	NA	NA
Ind66	NA	NA	NA	NA
Ind67	NA	NA	NA	NA
Ind68	NA	NA	NA	NA
Ind69	NA	NA	NA	NA
Ind70	NA	NA	NA	NA
Ind71	NA	NA	NA	NA
Ind72	NA	NA	NA	NA
Ind73	NA	NA	NA	NA
Ind74	NA	NA	NA	NA
Ind75	NA	NA	NA	NA
Ind76	NA	NA	NA	NA
Ind77	NA	NA	NA	NA
Ind78	NA	NA	NA	NA
Ind79	NA	NA	NA	NA
Ind80	NA	NA	NA	NA
Ind81	NA	NA	NA	NA
Ind82	NA	NA	NA	NA
Ind83	NA	NA	NA	NA
Ind84	NA	NA	NA	NA
Ind85	NA	NA	NA	NA
Ind86	NA	NA	NA	NA
Ind87	NA	NA	NA	NA
Ind88	NA	NA	NA	NA
Ind89	NA	NA	NA	NA
Ind90	NA	NA	NA	NA
Ind91	NA	NA	NA	NA
Ind92	NA	NA	NA	NA
Ind93	NA	NA	NA	NA
Ind94	NA	NA	NA	NA
Ind95	NA	NA	NA	NA
Ind96	NA	NA	NA	NA
Ind97	NA	NA	NA	NA
Ind98	NA	NA	NA	NA
Ind99	NA	NA	NA	NA
Ind100	1	I	no	4.23728
Ind101	1	I	no	1.59253
Ind102	1	S	no	no
Ind103	1	S	no	no
Ind104	1	S	2.94693	7.11797
Ind105	1	S	.	13.8094
Ind106	1	S	0.598136	.
Ind107	1	S	no	no
Ind108	1	S	1.89905	.
Ind109	1	S	no	no
Ind110	2	I	no	.
Ind111	2	I	no	.
Ind112	2	S	2.5323	.
Ind113	2	S	.	.
Ind114	2	S	3.86567	7.42205
Ind115	2	S	2.26033	5.10173
Ind116	2	S	4.56058	6.23356
Ind117	2	S	3.88537	.
Ind118	2	S	.	15.5189
Ind119	2	S	no	no
Ind120	3	I	no	4.49594
Ind121	3	I	no	6.69201
Ind122	3	S	no	no
Ind123	3	S	.	11.2126
Ind124	3	S	1.69413	.
Ind125	3	S	no	no
Ind126	3	S	.	4.69874
Ind127	3	S	.	14.3168
Ind128	3	S	no	no
Ind129	3	S	.	10.7572
Ind130	4	I	no	.
Ind131	4	I	no	.
Ind132	4	S	.	.
Ind133	4	S	.	7.63788
Ind134	4	S	.	.
Ind135	4	S	12.3357	.
Ind136	4	S	.	.
Ind137	4	S	0.0121451	.
Ind138	4	S	.	.
Ind139	4	S	.	23.9377
Ind140	5	I	no	.
Ind141	5	I	no	1.86572
Ind142	5	S	0.401825	.
Ind143	5	S	2.92262	.
Ind144	5	S	6.25351	.
Ind145	5	S	5.46976	12.4449
Ind146	5	S	1.72548	.
Ind147	5	S	6.09448	12.6209
Ind148	5	S	10.6999	21.0387
Ind149	5	S	.	11.4107
Ind150	6	I	no	.
Ind151	6	I	no	.
Ind152	6	S	.	.
Ind153	6	S	0.533825	.
Ind154	6	S	2.92989	.
Ind155	6	S	3.22118	.
Ind156	6	S	8.84734	13.5298
Ind157	6	S	.	20.0999
Ind158	6	S	5.69373	6.39095
Ind159	6	S	.	.
Ind160	7	I	no	14.6691
Ind161	7	I	no	9.12622
Ind162	7	S	.	13.9731
Ind163	7	S	.	.
Ind164	7	S	.	.
Ind165	7	S	.	7.89646
Ind166	7	S	4.0682	.
Ind167	7	S	no	no
Ind168	7	S	6.52405	11.0667
Ind169	7	S	8.63726	19.5433
Ind170	8	I	no	.
Ind171	8	I	no	.
Ind172	8	S	.	.
Ind173	8	S	1.22726	6.9461
Ind174	8	S	.	.
Ind175	8	S	3.56996	.
Ind176	8	S	.	10.7361
Ind177	8	S	.	.
Ind178	8	S	.	.
Ind179	8	S	1.97233	6.95277
Ind180	9	I	no	1.10837
Ind181	9	I	no	.
Ind182	9	S	no	no
Ind183	9	S	no	no
Ind184	9	S	no	no
Ind185	9	S	no	no
Ind186	9	S	no	no
Ind187	9	S	no	no
Ind188	9	S	no	no
Ind189	9	S	no	no
Ind190	10	I	no	12.9393
Ind191	10	I	no	.
Ind192	10	S	.	.
Ind193	10	S	.	12.8765
Ind194	10	S	.	14.6835
Ind195	10	S	0.375193	.
Ind196	10	S	.	.
Ind197	10	S	.	5.57547
Ind198	10	S	.	.
Ind199	10	S	.	.
Ind200	11	I	no	11.5552
Ind201	11	I	no	.
Ind202	11	S	0.366369	13.7993
Ind203	11	S	4.45951	14.2242
Ind204	11	S	5.03088	14.1383
Ind205	11	S	.	22.5896
Ind206	11	S	.	.
Ind207	11	S	5.56948	.
Ind208	11	S	.	.
Ind209	11	S	.	.
Ind210	12	I	no	.
Ind211	12	I	no	6.64008
Ind212	12	S	.	7.74008
Ind213	12	S	no	no
Ind214	12	S	4.15246	.
Ind215	12	S	no	no
Ind216	12	S	.	.
Ind217	12	S	9.67813	.
Ind218	12	S	.	.
Ind219	12	S	6.93142	.
Ind220	13	I	no	3.70927
Ind221	13	I	no	5.06399
Ind222	13	S	5.33982	8.57874
Ind223	13	S	4.1684	.
Ind224	13	S	no	no
Ind225	13	S	.	10.7374
Ind226	13	S	.	5.58723
Ind227	13	S	0.396256	3.24829
Ind228	13	S	.	.
Ind229	13	S	.	8.05325
Ind230	14	I	no	9.72923
Ind231	14	I	no	.
Ind232	14	S	.	9.24213
Ind233	14	S	.	12.9119
Ind234	14	S	0.87957	.
Ind235	14	S	.	18.9579
Ind236	14	S	.	4.99726
Ind237	14	S	.	6.63814
Ind238	14	S	3.54346	.
Ind239	14	S	8.18177	.
Ind240	15	I	no	3.13692
Ind241	15	I	no	.
Ind242	15	S	3.47609	.
Ind243	15	S	8.1299	11.1029
Ind244	15	S	1.57569	.
Ind245	15	S	1.11753	.
Ind246	15	S	.	12.5717
Ind247	15	S	5.4716	10.7818
Ind248	15	S	6.95731	18.4217
Ind249	15	S	no	no
Ind250	16	I	no	3.60251
Ind251	16	I	no	.
Ind252	16	S	0.0037918	.
Ind253	16	S	.	13.4851
Ind254	16	S	.	10.3733
Ind255	16	S	.	9.88639
Ind256	16	S	.	.
Ind257	16	S	3.16866	13.8008
Ind258	16	S	.	.
Ind259	16	S	.	.
Ind260	17	I	no	.
Ind261	17	I	no	5.75241
Ind262	17	S	0.581205	.
Ind263	17	S	.	11.9314
Ind264	17	S	.	.
Ind265	17	S	.	.
Ind266	17	S	.	.
Ind267	17	S	1.11781	6.91584
Ind268	17	S	.	9.769
Ind269	17	S	.	.
Ind270	18	I	no	.
Ind271	18	I	no	2.24153
Ind272	18	S	1.7526	11.1407
Ind273	18	S	.	.
Ind274	18	S	1.75917	3.64837
Ind275	18	S	.	.
Ind276	18	S	.	.
Ind277	18	S	.	.
Ind278	18	S	.	.
Ind279	18	S	3.34798	.
Ind280	19	I	no	5.29718
Ind281	19	I	no	.
Ind282	19	S	no	no
Ind283	19	S	1.63388	.
Ind284	19	S	no	no
Ind285	19	S	no	no
Ind286	19	S	no	no
Ind287	19	S	no	no
Ind288	19	S	.	6.06175
Ind289	19	S	no	no
Ind290	20	I	no	8.18586
Ind291	20	I	no	.
Ind292	20	S	3.08984	9.03527
Ind293	20	S	2.81343	.
Ind294	20	S	.	.
Ind295	20	S	6.31664	.
Ind296	20	S	.	.
Ind297	20	S	5.16572	11.6993
Ind298	20	S	.	.
Ind299	20	S	.	.
Ind300	21	I	no	10.2422
Ind301	21	I	no	.
Ind302	21	S	4.68828	5.2969
Ind303	21	S	1.0716	.
Ind304	21	S	no	no
Ind305	21	S	.	8.76244
Ind306	21	S	2.37731	9.1174
Ind307	21	S	no	no
Ind308	21	S	1.19426	9.95644
Ind309	21	S	5.00021	9.97921
Ind310	22	I	no	10.7191
Ind311	22	I	no	.
Ind312	22	S	.	14.9869
Ind313	22	S	1.57203	8.44797
Ind314	22	S	2.87366	8.22509
Ind315	22	S	.	6.33359
Ind316	22	S	1.00019	.
Ind317	22	S	1.28098	10.6218
Ind318	22	S	1.50827	5.9267
Ind319	22	S	.	.
Ind320	23	I	no	.
Ind321	23	I	no	0.420575
Ind322	23	S	.	11.3306
Ind323	23	S	.	.
Ind324	23	S	.	8.39825
Ind325	23	S	.	.
Ind326	23	S	.	23.4116
Ind327	23	S	1.1436	.
Ind328	23	S	.	.
Ind329	23	S	.	21.7445
Ind330	24	I	no	.
Ind331	24	I	no	1.00236
Ind332	24	S	.	13.649
Ind333	24	S	5.41418	.
Ind334	24	S	no	no
Ind335	24	S	5.22726	.
Ind336	24	S	8.58787	.
Ind337	24	S	.	.
Ind338	24	S	7.79737	.
Ind339	24	S	5.95032	11.637
Ind340	25	I	no	.
Ind341	25	I	no	.
Ind342	25	S	.	14.043
Ind343	25	S	9.5996	.
Ind344	25	S	1.34663	.
Ind345	25	S	.	12.3152
Ind346	25	S	3.85899	.
Ind347	25	S	.	16.502
Ind348	25	S	.	.
Ind349	25	S	4.68935	11.1716
Ind350	26	I	no	9.12865
Ind351	26	I	no	.
Ind352	26	S	5.9528	9.94489
Ind353	26	S	5.10534	10.4094
Ind354	26	S	1.77183	10.5566
Ind355	26	S	2.37178	.
Ind356	26	S	.	5.15504
Ind357	26	S	.	.
