ID	Group	Init. Comp.	It	Rt	g_a	f_a	r_a
Ind0	NA	NA	NA	NA	0.65945	-0.121966	-0.112748
Ind1	NA	NA	NA	NA	0.498667	0.0336061	1.35888
Ind2	NA	NA	NA	NA	0.332037	1.02096	-0.370548
Ind3	NA	NA	NA	NA	-1.23431	-0.935842	-1.29099
Ind4	NA	NA	NA	NA	-0.601	-0.894625	-0.079114
Ind5	NA	NA	NA	NA	1.63729	0.376912	-0.460547
Ind6	NA	NA	NA	NA	0.254598	1.21152	-0.753616
Ind7	NA	NA	NA	NA	1.53375	-0.470959	-0.618441
Ind8	NA	NA	NA	NA	-1.30939	-0.60696	0.889872
Ind9	NA	NA	NA	NA	-0.277306	-0.971749	0.864493
Ind10	NA	NA	NA	NA	0.797824	0.567956	0.702692
Ind11	NA	NA	NA	NA	0.328549	-1.43572	-0.559418
Ind12	NA	NA	NA	NA	0.718174	-0.134846	-0.0826292
Ind13	NA	NA	NA	NA	-0.156357	0.0188441	0.778663
Ind14	NA	NA	NA	NA	0.193105	0.132609	0.658258
Ind15	NA	NA	NA	NA	-0.351103	0.930069	1.5639
Ind16	NA	NA	NA	NA	1.75966	0.775815	-0.530014
Ind17	NA	NA	NA	NA	0.691695	-0.580189	-1.05296
Ind18	NA	NA	NA	NA	-0.715321	0.552047	-0.267654
Ind19	NA	NA	NA	NA	-0.548337	-0.383384	-0.265992
Ind20	NA	NA	NA	NA	1.27514	1.19776	-1.16795
Ind21	NA	NA	NA	NA	1.76354	0.0701917	-0.194814
Ind22	NA	NA	NA	NA	1.73037	-1.86658	-1.9148
Ind23	NA	NA	NA	NA	-1.13528	-2.13356	0.674765
Ind24	NA	NA	NA	NA	-0.191377	2.03893	0.553492
Ind25	NA	NA	NA	NA	1.57067	-0.15434	0.415255
Ind26	NA	NA	NA	NA	0.121234	0.246996	-0.981809
Ind27	NA	NA	NA	NA	-0.206174	1.44558	-0.18474
Ind28	NA	NA	NA	NA	2.12149	-0.496046	-0.278598
Ind29	NA	NA	NA	NA	-0.835376	-1.80695	0.0479008
Ind30	NA	NA	NA	NA	-1.07517	-0.184951	-0.173555
Ind31	NA	NA	NA	NA	2.1826	0.24477	-0.191812
Ind32	NA	NA	NA	NA	0.813236	-0.264061	-0.696394
Ind33	NA	NA	NA	NA	0.220338	0.75639	0.515522
Ind34	NA	NA	NA	NA	-0.920172	-1.30538	0.239414
Ind35	NA	NA	NA	NA	-0.173905	-0.14996	-0.497734
Ind36	NA	NA	NA	NA	-0.611747	-0.721057	0.542785
Ind37	NA	NA	NA	NA	0.174052	0.798906	-0.980611
Ind38	NA	NA	NA	NA	-0.614067	-1.67735	0.138321
Ind39	NA	NA	NA	NA	-1.43763	-0.767222	-0.970815
Ind40	NA	NA	NA	NA	1.75017	1.2676	-1.14881
Ind41	NA	NA	NA	NA	-0.633397	0.259407	0.0304498
Ind42	NA	NA	NA	NA	0.487455	0.082862	0.216215
Ind43	NA	NA	NA	NA	0.579943	0.591976	-0.494285
Ind44	NA	NA	NA	NA	-0.0240466	1.19924	-0.0708485
Ind45	NA	NA	NA	NA	-0.301114	-0.383067	-0.0889814
Ind46	NA	NA	NA	NA	-1.13806	0.35527	0.969127
Ind47	NA	NA	NA	NA	1.08487	0.575471	-0.0280884
Ind48	NA	NA	NA	NA	2.25646	0.0238647	-0.447955
Ind49	NA	NA	NA	NA	-1.12134	-0.128412	0.347233
Ind50	NA	NA	NA	NA	0.569842	0.523237	0.341202
Ind51	NA	NA	NA	NA	1.44556	0.37317	0.338545
Ind52	NA	NA	NA	NA	0.415125	1.40552	-0.678688
Ind53	NA	NA	NA	NA	-2.09588	-0.508348	1.15646
Ind54	NA	NA	NA	NA	-0.120452	0.119519	-0.20485
Ind55	NA	NA	NA	NA	1.39845	1.75934	-0.0034777
Ind56	NA	NA	NA	NA	0.639386	1.50029	-0.614458
Ind57	NA	NA	NA	NA	-0.209915	-0.0787302	0.249936
Ind58	NA	NA	NA	NA	-1.94915	-1.80377	-0.232684
Ind59	NA	NA	NA	NA	0.420792	2.18669	-0.350536
Ind60	NA	NA	NA	NA	0.204483	-1.23969	-1.39598
Ind61	NA	NA	NA	NA	-1.05968	0.429306	0.992015
Ind62	NA	NA	NA	NA	-1.43409	-0.993965	-0.34256
Ind63	NA	NA	NA	NA	-1.85773	-1.91776	-0.625702
Ind64	NA	NA	NA	NA	0.579882	1.02966	0.583148
Ind65	NA	NA	NA	NA	-1.51312	1.2266	-0.702242
Ind66	NA	NA	NA	NA	-1.32952	0.435995	0.618034
Ind67	NA	NA	NA	NA	0.162217	1.50773	-0.124249
Ind68	NA	NA	NA	NA	-0.155634	-0.81713	0.343559
Ind69	NA	NA	NA	NA	-1.58942	-1.37773	0.454002
Ind70	NA	NA	NA	NA	0.392914	0.669551	0.0355374
Ind71	NA	NA	NA	NA	-1.57822	-1.03941	0.780395
Ind72	NA	NA	NA	NA	0.503442	-0.280976	-0.338721
Ind73	NA	NA	NA	NA	1.687	0.748814	-0.642254
Ind74	NA	NA	NA	NA	-0.681418	-0.676586	-0.0794092
Ind75	NA	NA	NA	NA	0.403203	-0.62517	-1.21731
Ind76	NA	NA	NA	NA	-0.964971	0.581263	0.678259
Ind77	NA	NA	NA	NA	1.48545	1.14513	0.146366
Ind78	NA	NA	NA	NA	-0.702778	-1.94045	0.197082
Ind79	NA	NA	NA	NA	-0.625521	-0.760973	0.507074
Ind80	NA	NA	NA	NA	-0.788563	-0.390263	0.419072
Ind81	NA	NA	NA	NA	-0.107233	-0.289191	0.18648
Ind82	NA	NA	NA	NA	-0.379998	1.49112	0.382293
