ID	Group	Init. Comp.	S->E	E->I	I->D	D->R	f_a	f_e	g_a	g_e	r_a	r_e
Ind0	NA	NA	NA	NA	NA	NA	-0.66474	-0.813632	0.101919	0.0850545	-0.610771	-0.294252
Ind1	NA	NA	NA	NA	NA	NA	0.630082	-0.318286	1.84479	-0.833129	-0.0796075	-0.0723371
Ind2	NA	NA	NA	NA	NA	NA	-1.52184	-0.450619	0.667572	-0.278588	0.538613	-1.57347
Ind3	NA	NA	NA	NA	NA	NA	1.43163	0.0138525	-1.13041	-0.483971	0.0314607	-0.0633591
Ind4	NA	NA	NA	NA	NA	NA	-1.97646	-0.311691	-0.471539	-0.980839	0.595692	0.175071
Ind5	NA	NA	NA	NA	NA	NA	0.103727	1.23708	0.602549	-1.57111	0.568455	-0.282723
Ind6	NA	NA	NA	NA	NA	NA	-1.81596	0.120316	-1.47337	-0.632124	0.308103	-0.170167
Ind7	NA	NA	NA	NA	NA	NA	0.247914	0.218783	-0.37691	-0.22055	1.5612	-0.878221
Ind8	NA	NA	NA	NA	NA	NA	-0.0320478	1.39211	-1.01663	0.183801	-0.221045	-1.14773
Ind9	NA	NA	NA	NA	NA	NA	0.669008	-0.700901	-0.211472	-1.11833	0.471217	-1.08709
Ind10	NA	NA	NA	NA	NA	NA	0.569465	-1.33634	-0.28299	0.41481	0.849809	-0.495329
Ind11	NA	NA	NA	NA	NA	NA	-0.777585	1.15349	-0.931673	-0.152281	0.0790587	-0.0734069
Ind12	NA	NA	NA	NA	NA	NA	-1.52805	0.653968	1.0006	0.41709	0.71057	0.00770886
Ind13	NA	NA	NA	NA	NA	NA	1.63271	0.489013	0.619215	0.243504	-0.726895	0.239944
Ind14	NA	NA	NA	NA	NA	NA	-0.965383	-0.0397523	0.258501	-0.527581	-0.279693	0.38893
Ind15	NA	NA	NA	NA	NA	NA	0.99184	0.0745745	0.198675	-0.501257	1.26912	-1.18752
Ind16	NA	NA	NA	NA	NA	NA	1.17857	0.194131	1.13111	-0.207738	-1.24596	0.320668
Ind17	NA	NA	NA	NA	NA	NA	-1.41008	0.713852	-1.50363	-0.718	1.17111	-0.350537
Ind18	NA	NA	NA	NA	NA	NA	0.9874	-1.08262	-0.336325	0.234371	-0.180472	0.428243
Ind19	NA	NA	NA	NA	NA	NA	-0.613751	1.71472	-1.22427	-0.272946	-0.726997	0.18666
Ind20	NA	NA	NA	NA	NA	NA	2.82896	1.12922	1.10487	1.00594	-0.82731	-0.597579
Ind21	NA	NA	NA	NA	NA	NA	-0.409558	-0.233124	-2.0678	-2.10841	0.593061	-0.0959771
Ind22	NA	NA	NA	NA	NA	NA	1.60348	1.60219	-0.275007	-0.0604771	-1.39052	0.279304
Ind23	NA	NA	NA	NA	NA	NA	-1.79873	1.33407	0.62354	1.38947	0.243325	-1.55551
Ind24	NA	NA	NA	NA	NA	NA	1.16134	0.720796	1.29151	0.685923	-0.254267	0.357213
Ind25	NA	NA	NA	NA	NA	NA	-0.360902	0.193632	-1.30162	-0.245907	-0.114863	0.21971
Ind26	NA	NA	NA	NA	NA	NA	1.49113	0.157923	0.283039	1.66742	-0.402748	0.273137
Ind27	NA	NA	NA	NA	NA	NA	1.78663	1.51182	1.89694	0.512118	1.00057	-1.45351
Ind28	NA	NA	NA	NA	NA	NA	-0.822487	-0.675792	-0.0869714	-0.327664	0.387176	-0.928932
Ind29	NA	NA	NA	NA	NA	NA	0.111241	-2.63977	-1.06458	-0.807766	-0.0378391	0.819251
Ind30	NA	NA	NA	NA	NA	NA	0.583135	1.43103	-0.843009	0.642742	-0.235899	-1.19781
Ind31	NA	NA	NA	NA	NA	NA	0.744279	0.0277587	0.66378	1.23931	-0.112873	-0.931857
Ind32	NA	NA	NA	NA	NA	NA	0.429946	-0.353005	-0.257348	0.47289	-1.24368	1.05435
Ind33	NA	NA	NA	NA	NA	NA	0.515556	-0.0756978	1.33899	0.289687	0.864963	-0.142767
Ind34	NA	NA	NA	NA	NA	NA	-0.807966	-0.189557	-1.54581	0.738622	0.377633	-0.744313
Ind35	NA	NA	NA	NA	NA	NA	2.37059	1.67648	1.40693	1.78348	-1.54055	-1.74901
Ind36	NA	NA	NA	NA	NA	NA	-0.396782	-0.376154	-0.757516	-0.17675	0.453227	-0.302179
Ind37	NA	NA	NA	NA	NA	NA	-0.443542	-1.15675	-0.136374	-0.550373	-0.894298	1.38381
Ind38	NA	NA	NA	NA	NA	NA	1.07284	1.36388	0.265848	-0.311597	-1.14662	-0.949367
Ind39	NA	NA	NA	NA	NA	NA	0.0188621	0.269519	-0.910954	-0.312115	-0.418021	0.0101802
Ind40	NA	NA	NA	NA	NA	NA	-1.4343	-0.78246	1.06943	0.503867	0.316313	-1.40401
Ind41	NA	NA	NA	NA	NA	NA	1.49061	-1.20538	1.10654	0.264641	0.281303	-0.747491
Ind42	NA	NA	NA	NA	NA	NA	-0.110043	-0.397711	-0.679687	0.235514	1.21678	0.728711
Ind43	NA	NA	NA	NA	NA	NA	1.25287	-0.0471952	1.22691	-0.0698496	-0.881536	-0.814489
Ind44	NA	NA	NA	NA	NA	NA	1.00595	-0.0969177	0.940378	0.356895	-0.0332902	0.649619
Ind45	NA	NA	NA	NA	NA	NA	0.273393	0.313018	1.50129	-0.178131	0.139346	-0.992698
Ind46	NA	NA	NA	NA	NA	NA	-0.660952	0.802435	-1.01641	0.786767	0.460256	0.107175
Ind47	NA	NA	NA	NA	NA	NA	0.854283	0.752808	-0.134639	1.24338	-0.23639	-0.896771
Ind48	NA	NA	NA	NA	NA	NA	-1.69	-1.10007	1.49881	-0.076173	2.41793	-0.616711
Ind49	NA	NA	NA	NA	NA	NA	0.955952	0.165431	1.17393	-0.692105	0.1905	-1.33338
Ind50	NA	NA	NA	NA	NA	NA	-1.70102	-0.64275	-0.149407	-0.319502	-0.871877	1.13359
Ind51	NA	NA	NA	NA	NA	NA	-2.78361	1.25369	-0.35266	0.137216	0.97261	-1.31226
