ID	Group	Init. Comp.	I->D	D->R
Ind0	NA	NA	NA	NA
Ind1	NA	NA	NA	NA
Ind2	NA	NA	NA	NA
Ind3	NA	NA	NA	NA
Ind4	NA	NA	NA	NA
Ind5	NA	NA	NA	NA
Ind6	NA	NA	NA	NA
Ind7	NA	NA	NA	NA
Ind8	NA	NA	NA	NA
Ind9	NA	NA	NA	NA
Ind10	NA	NA	NA	NA
Ind11	NA	NA	NA	NA
Ind12	NA	NA	NA	NA
Ind13	NA	NA	NA	NA
Ind14	1	E	6.11262885875706	20.5487288289303
Ind15	1	E	6.17616388462143	15.4430058707451
Ind16	1	E	3.89217977028459	4.64913246469647
Ind17	1	E	1.40402076082336	5.15387594215879
Ind18	1	E	3.95246845699571	12.0175192283919
Ind19	1	S	no	no
Ind20	1	S	no	no
Ind21	1	S	no	no
Ind22	1	S	no	no
Ind23	1	S	17.2994795054931	23.49061188459
Ind24	1	S	no	no
Ind25	1	S	no	no
Ind26	1	S	32.1731999042075	42.7605119385882
Ind27	1	S	no	no
Ind28	1	S	no	no
Ind29	1	S	22.2153143618771	27.341647165922
Ind30	1	S	no	no
Ind31	1	S	no	no
Ind32	1	S	no	no
Ind33	1	S	no	no
Ind34	1	S	28.7973492955933	30.8463884072974
Ind35	1	S	no	no
Ind36	1	S	30.8124934979459	33.0189898031611
Ind37	1	S	no	no
Ind38	1	S	24.9776016993152	28.1535502918263
Ind39	2	E	7.7007994916777	12.1337226081789
Ind40	2	E	8.30844375978572	9.35465301267721
Ind41	2	E	1.69882023950013	5.13849568106891
Ind42	2	E	2.96377352801762	4.90304349182656
Ind43	2	E	8.29681622246703	11.4202662453066
Ind44	2	S	41.4960452407415	44.0738885639299
Ind45	2	S	no	no
Ind46	2	S	no	no
Ind47	2	S	31.5286030513594	37.7616746319257
Ind48	2	S	no	no
Ind49	2	S	no	no
Ind50	2	S	no	no
Ind51	2	S	no	no
Ind52	2	S	43.6257447434926	57.6787866726574
Ind53	2	S	no	no
Ind54	2	S	19.5957619543061	22.4344618491126
Ind55	2	S	19.4412760981898	19.9619252148802
Ind56	2	S	no	no
Ind57	2	S	no	no
Ind58	2	S	47.8199302269201	48.3774178588552
Ind59	2	S	21.5314328843863	43.7426462521845
Ind60	2	S	15.0930879340644	17.0759722015321
Ind61	2	S	55.9574883729859	56.5812014625257
Ind62	2	S	no	no
Ind63	2	S	no	no
Ind64	3	E	3.6065265475616	4.65910478353586
Ind65	3	E	13.7565286774429	15.0435371860519
Ind66	3	E	6.36732421256409	29.4141253101253
Ind67	3	E	2.03055005864429	5.81165463806207
Ind68	3	E	1.60197973520533	21.4907511336909
Ind69	3	S	6.38633955300078	19.2036547122555
Ind70	3	S	no	no
Ind71	3	S	no	no
Ind72	3	S	no	no
Ind73	3	S	30.2471516968654	37.7671104483963
Ind74	3	S	no	no
Ind75	3	S	16.2764327286643	21.8208079994433
Ind76	3	S	no	no
Ind77	3	S	17.5036342488178	18.4909032726679
Ind78	3	S	9.76002691127329	10.5398562153538
Ind79	3	S	no	no
Ind80	3	S	no	no
Ind81	3	S	26.0834361972093	35.6288219507182
Ind82	3	S	21.6003968997951	27.5030083309709
Ind83	3	S	21.1794762533621	24.8252535952511
Ind84	3	S	4.9289264515159	38.520632016898
Ind85	3	S	31.7715341772475	33.6875555676377
Ind86	3	S	1.69539755179741	2.90095434403972
Ind87	3	S	no	no
Ind88	3	S	no	no
Ind89	4	E	12.3272764589068	13.319260843792
Ind90	4	E	1.27719526677121	6.13183005601205
Ind91	4	E	2.92245306674155	4.28268888912174
Ind92	4	E	8.92496892783121	11.7795752425789
Ind93	4	E	5.313965544264	17.5881289044295
Ind94	4	S	25.9448072275118	33.2352059700756
Ind95	4	S	41.0443351603745	47.6097809400983
Ind96	4	S	no	no
Ind97	4	S	18.1908847686313	34.136160776217
Ind98	4	S	22.5737756288799	30.9085167992497
Ind99	4	S	no	no
Ind100	4	S	no	no
Ind101	4	S	42.1878996728328	44.0643073356179
Ind102	4	S	no	no
Ind103	4	S	no	no
Ind104	4	S	no	no
Ind105	4	S	no	no
Ind106	4	S	no	no
Ind107	4	S	no	no
Ind108	4	S	36.7610461276801	42.1676496321018
Ind109	4	S	no	no
Ind110	4	S	no	no
Ind111	4	S	no	no
Ind112	4	S	no	no
Ind113	4	S	no	no
Ind114	5	E	4.10956871486764	18.8360139542267
Ind115	5	E	5.19095770223023	14.1325625709759
Ind116	5	E	9.67337133010517	16.38778318889
Ind117	5	E	3.92179602243856	4.42840152347306
Ind118	5	E	7.65187931535574	16.7335282590645
Ind119	5	S	29.6739323585356	29.704101141738
Ind120	5	S	no	no
Ind121	5	S	15.3071820034391	24.0297557749418
Ind122	5	S	no	no
Ind123	5	S	no	no
Ind124	5	S	14.9474526500116	15.4910055970351
Ind125	5	S	26.6229619692622	30.4097670264168
Ind126	5	S	no	no
Ind127	5	S	8.87448048579719	13.4058867577154
Ind128	5	S	27.5794575183395	31.3132756048869
Ind129	5	S	no	no
Ind130	5	S	38.2790336498531	41.5299326610337
Ind131	5	S	no	no
Ind132	5	S	15.1250852290384	25.6907914353274
Ind133	5	S	10.1400972596422	26.6174398383287
Ind134	5	S	15.1656906837966	20.526336479082
Ind135	5	S	no	no
Ind136	5	S	28.3184547883375	35.093073525277
Ind137	5	S	8.74549152745862	15.6681371762237
Ind138	5	S	14.0059681489511	22.3900895422625
Ind139	6	E	6.47776296237075	25.6530206035948
Ind140	6	E	2.00884836712241	6.16578212562343
Ind141	6	E	13.8478944614752	18.6669556141704
Ind142	6	E	6.96041826456497	9.8386624706177
Ind143	6	E	3.46041542676093	7.05509575777647
Ind144	6	S	no	no
Ind145	6	S	no	no
Ind146	6	S	no	no
Ind147	6	S	no	no
Ind148	6	S	no	no
Ind149	6	S	no	no
Ind150	6	S	no	no
Ind151	6	S	no	no
Ind152	6	S	no	no
Ind153	6	S	no	no
Ind154	6	S	13.8982582294234	22.6937699721597
Ind155	6	S	no	no
Ind156	6	S	no	no
Ind157	6	S	no	no
Ind158	6	S	13.7241228317984	19.1138305790606
Ind159	6	S	15.0500306823532	27.0823706832261
Ind160	6	S	23.2820816852462	23.8681946018203
Ind161	6	S	no	no
Ind162	6	S	no	no
Ind163	6	S	18.0549134871591	18.4167512611871
Ind164	7	E	12.927308171634	14.2938423985777
Ind165	7	E	0.449042234070915	2.31550619193807
Ind166	7	E	6.34153637441003	8.64875398914264
Ind167	7	E	0.697171444633076	2.85770487598557
Ind168	7	E	3.573774205689	22.725532798526
Ind169	7	S	no	no
Ind170	7	S	no	no
Ind171	7	S	no	no
Ind172	7	S	no	no
Ind173	7	S	no	no
Ind174	7	S	no	no
Ind175	7	S	no	no
Ind176	7	S	no	no
Ind177	7	S	no	no
Ind178	7	S	no	no
Ind179	7	S	no	no
Ind180	7	S	no	no
Ind181	7	S	no	no
Ind182	7	S	no	no
Ind183	7	S	no	no
Ind184	7	S	no	no
Ind185	7	S	no	no
Ind186	7	S	no	no
Ind187	7	S	no	no
Ind188	7	S	no	no
Ind189	8	E	7.00410649318597	8.52254409554649
Ind190	8	E	24.7131600517691	25.1840805867188
Ind191	8	E	3.96687513428441	12.0727327160098
Ind192	8	E	14.3608607040304	21.9395422819221
Ind193	8	E	7.5298711718456	8.37002021715889
Ind194	8	S	15.3615481662982	19.4079819343461
Ind195	8	S	24.2653548781971	37.1603183305672
Ind196	8	S	no	no
Ind197	8	S	no	no
Ind198	8	S	no	no
Ind199	8	S	no	no
Ind200	8	S	no	no
Ind201	8	S	no	no
Ind202	8	S	no	no
Ind203	8	S	13.8480689199941	17.0043057097672
Ind204	8	S	no	no
Ind205	8	S	no	no
Ind206	8	S	no	no
Ind207	8	S	17.0912075295411	23.8245141701508
Ind208	8	S	19.4596845810786	30.6719085278807
Ind209	8	S	11.9559859426583	29.830568044408
Ind210	8	S	21.2789879715088	25.9078659715889
Ind211	8	S	no	no
Ind212	8	S	no	no
Ind213	8	S	25.1397583974802	30.1115227763258
Ind214	9	E	6.21384652994029	12.8111955147651
Ind215	9	E	4.57980918945111	25.1199956270937
Ind216	9	E	0.210922071722837	1.91618631229952
Ind217	9	E	9.71604084323376	27.7256660794091
Ind218	9	E	7.50289685861898	9.70290909747615
Ind219	9	S	no	no
Ind220	9	S	no	no
Ind221	9	S	no	no
Ind222	9	S	20.1348087503324	33.4762170415361
Ind223	9	S	no	no
Ind224	9	S	no	no
Ind225	9	S	no	no
Ind226	9	S	35.8270853246257	45.285278989725
Ind227	9	S	27.876437243138	38.8692753823867
Ind228	9	S	15.81666557251	26.7467246715728
Ind229	9	S	15.1836536338835	24.3436060328353
Ind230	9	S	10.5584164474872	11.8004574584038
Ind231	9	S	4.28409852657114	18.4321358475841
Ind232	9	S	no	no
Ind233	9	S	9.62121603474989	12.3242165511769
Ind234	9	S	no	no
Ind235	9	S	no	no
Ind236	9	S	16.8262253775982	20.8044335418238
Ind237	9	S	29.851100369134	33.537852876135
Ind238	9	S	no	no
Ind239	10	E	4.3398151331729	15.2936013387719
Ind240	10	E	1.67021495890058	15.3079002709001
Ind241	10	E	5.5454923224902	19.8612478811351
Ind242	10	E	7.16763233595257	10.15976555266
Ind243	10	E	9.95412358864687	17.2563736980014
Ind244	10	S	11.4148847479385	16.4577409462747
Ind245	10	S	no	no
Ind246	10	S	no	no
Ind247	10	S	no	no
Ind248	10	S	no	no
Ind249	10	S	no	no
Ind250	10	S	18.0856079209625	19.2414970018291
Ind251	10	S	no	no
Ind252	10	S	no	no
Ind253	10	S	no	no
Ind254	10	S	no	no
Ind255	10	S	no	no
Ind256	10	S	no	no
Ind257	10	S	no	no
Ind258	10	S	no	no
Ind259	10	S	no	no
Ind260	10	S	no	no
Ind261	10	S	no	no
Ind262	10	S	no	no
Ind263	10	S	no	no
Ind264	11	E	8.25737647504033	20.8675241283827
Ind265	11	E	1.60908969880033	6.97317282529372
Ind266	11	E	0.285784164587747	1.79757625270815
Ind267	11	E	5.73814667542855	10.5458468786219
Ind268	11	E	3.84395068620062	15.8364872086579
Ind269	11	S	5.86831649375308	14.3827129283183
Ind270	11	S	7.88721531712448	14.023198039618
Ind271	11	S	35.740052639726	50.0672520681227
Ind272	11	S	no	no
Ind273	11	S	17.259928754526	21.0314834487089
Ind274	11	S	19.9685106006297	23.6717000534942
Ind275	11	S	13.4455392601077	18.0373181662389
Ind276	11	S	7.37430051944135	9.18786521019238
Ind277	11	S	59.8843813490669	61.3387112867593
Ind278	11	S	no	no
Ind279	11	S	no	no
Ind280	11	S	6.33494749016416	23.4684281292101
Ind281	11	S	no	no
Ind282	11	S	15.0382282451435	26.8553273319043
Ind283	11	S	21.4706287343058	39.1961937540826
Ind284	11	S	no	no
Ind285	11	S	19.2450517738152	25.1088018980699
Ind286	11	S	no	no
Ind287	11	S	no	no
Ind288	11	S	no	no
Ind289	12	E	3.00861386410608	10.9045792473373
Ind290	12	E	3.13373470015655	10.8530954068883
Ind291	12	E	3.92895515042557	23.5708722407607
Ind292	12	E	2.86566216727846	50.2231528622469
Ind293	12	E	1.70788696380332	34.7300082205193
Ind294	12	S	no	no
Ind295	12	S	no	no
Ind296	12	S	36.4965844847322	48.9391689806261
Ind297	12	S	no	no
Ind298	12	S	no	no
Ind299	12	S	no	no
