ID	Group	Init. Comp.	Donor	S->E	E->I	I->D	D->R
Ind0	NA	NA	0	NA	NA	NA	NA
Ind1	NA	NA	0	NA	NA	NA	NA
Ind2	NA	NA	0	NA	NA	NA	NA
Ind3	NA	NA	0	NA	NA	NA	NA
Ind4	NA	NA	0	NA	NA	NA	NA
Ind5	NA	NA	0	NA	NA	NA	NA
Ind6	NA	NA	0	NA	NA	NA	NA
Ind7	NA	NA	0	NA	NA	NA	NA
Ind8	NA	NA	0	NA	NA	NA	NA
Ind9	NA	NA	0	NA	NA	NA	NA
Ind10	NA	NA	0	NA	NA	NA	NA
Ind11	NA	NA	0	NA	NA	NA	NA
Ind12	NA	NA	0	NA	NA	NA	NA
Ind13	NA	NA	0	NA	NA	NA	NA
Ind14	1	E	1	no	0.444821	16.9548	17.2299
Ind15	1	E	1	no	2.32505	4.98725	5.38825
Ind16	1	E	1	no	2.55076	4.4274	17.0097
Ind17	1	E	1	no	6.04908	7.92323	15.1841
Ind18	1	E	1	no	6.80983	8.24799	10.25
Ind19	1	S	0	no	no	no	no
Ind20	1	S	0	30.1796	30.4967	37.8995	44.9241
Ind21	1	S	0	no	no	no	no
Ind22	1	S	0	no	no	no	no
Ind23	1	S	0	no	no	no	no
Ind24	1	S	0	6.08518	8.60765	13.4449	17.533
Ind25	1	S	0	9.35571	9.73848	15.6396	16.9324
Ind26	1	S	0	32.5815	36.7963	38.7482	39.6401
Ind27	1	S	0	16.4363	21.5118	25.3342	36.8042
Ind28	1	S	0	8.1436	11.6038	17.6786	32.8342
Ind29	1	S	0	7.09113	7.74833	10.4386	12.9115
Ind30	1	S	0	12.7135	15.0899	15.603	40.5776
Ind31	1	S	0	no	no	no	no
Ind32	1	S	0	8.43565	9.62414	18.5463	22.7944
Ind33	1	S	0	17.2051	20.8067	25.9918	37.1259
Ind34	1	S	0	5.79088	8.49247	11.9516	13.269
Ind35	1	S	0	no	no	no	no
Ind36	1	S	0	15.7428	15.7604	17.0959	26.4114
