ID	Group	Init. Comp.	Donor	S->E	E->I	I->D	D->R	f_a	f_e	g_a	g_e	r_a	r_e
Ind0	NA	NA	0	NA	NA	NA	NA	1.16134	-0.453079	1.29151	1.02299	-0.254267	0.334771
Ind1	NA	NA	0	NA	NA	NA	NA	-0.360902	0.903924	-1.30162	-0.11444	-0.114863	-0.700909
Ind2	NA	NA	0	NA	NA	NA	NA	1.49113	0.429093	0.283039	0.388539	-0.402748	0.700924
Ind3	NA	NA	0	NA	NA	NA	NA	1.78663	-1.24326	1.89694	0.0685118	1.00057	-1.25545
Ind4	NA	NA	0	NA	NA	NA	NA	-0.822487	-0.0310995	-0.0869714	-1.06533	0.387176	-0.212845
Ind5	NA	NA	0	NA	NA	NA	NA	0.111241	0.427802	-1.06458	0.610898	-0.0378391	-0.368233
Ind6	NA	NA	0	NA	NA	NA	NA	0.583135	-1.46915	-0.843009	-0.926183	-0.235899	0.465078
Ind7	NA	NA	0	NA	NA	NA	NA	0.744279	2.1884	0.66378	0.518627	-0.112873	-1.27973
Ind8	NA	NA	0	NA	NA	NA	NA	0.429946	-0.66815	-0.257348	0.255377	-1.24368	-1.59852
Ind9	NA	NA	0	NA	NA	NA	NA	0.515556	0.264892	1.33899	0.999438	0.864963	-0.522926
Ind10	NA	NA	0	NA	NA	NA	NA	-0.807966	-0.470069	-1.54581	-0.0720994	0.377633	0.148584
Ind11	NA	NA	0	NA	NA	NA	NA	2.37059	0.193052	1.40693	-0.317239	-1.54055	0.620759
Ind12	NA	NA	0	NA	NA	NA	NA	-0.396782	0.681139	-0.757516	-1.1037	0.453227	0.240433
Ind13	NA	NA	0	NA	NA	NA	NA	-0.443542	-0.44075	-0.136374	-0.890363	-0.894298	-0.278329
Ind14	1	E	1	no	0.0988488	0.938973	1.26896	0.730713	0.227717	-0.148527	-0.685233	-0.766385	-0.110865
Ind15	1	E	1	no	0.173125	14.4	14.948	0.126711	0.894245	-1.0458	0.900725	-0.445699	0.603461
Ind16	1	E	1	no	0.174531	0.294216	1.1613	-1.01876	1.33131	0.357496	-1.00358	0.0603531	-1.80637
Ind17	1	E	1	no	4.18222	14.7821	47.0968	1.043	-0.603992	0.538249	0.0845613	0.0781958	1.21634
Ind18	1	E	1	no	0.910101	9.9724	15.9552	-0.00323287	2.0378	-0.695136	-0.508175	0.82595	-0.212005
Ind19	1	S	0	0.868117	0.97279	1.34986	1.78857	1.66569	-0.13409	1.70829	-1.28259	-0.890566	-0.579358
Ind20	1	S	0	2.12721	3.1509	5.41842	6.48555	1.7637	0.0497488	1.76775	-0.805738	-0.408792	-0.178531
Ind21	1	S	0	0.971045	1.79838	3.94977	4.92945	1.36382	0.84	2.37876	-0.34478	-0.278244	-0.589538
Ind22	1	S	0	1.2452	1.27675	1.9683	2.106	0.678939	0.886213	0.641959	0.0116795	-0.00986077	-1.51829
Ind23	1	S	0	1.96277	17.8677	31.2832	99.2108	1.75805	-1.50779	1.19521	0.999266	-0.4875	2.17871
Ind24	1	S	0	2.10027	4.85608	14.4521	18.2163	-0.278285	0.108244	2.00147	-0.360806	1.32372	-0.953111
Ind25	1	S	0	0.562312	3.04643	4.05918	11.5638	1.47797	0.963983	2.09465	0.381808	0.0832666	-1.0247
Ind26	1	S	0	2.31053	3.62883	6.07324	10.4312	-0.45221	0.589075	1.25764	-0.595896	-0.722669	-0.568948
Ind27	1	S	0	9.02622	21.2721	32.2245	100.735	-1.53256	-1.0156	1.07897	-1.08059	0.582134	1.34057
Ind28	1	S	0	no	no	no	no	-0.666045	0.564649	0.44149	-1.36823	0.19563	-0.696584
Ind29	1	S	0	3.2343	9.00378	12.2913	13.3377	0.540521	1.20475	-0.0379987	0.920342	0.733392	0.25511
Ind30	1	S	0	1.9024	2.82744	3.24204	4.046	0.0949409	-1.21965	-0.0921312	0.791719	0.761469	-0.590042
Ind31	1	S	0	6.12089	70.8334	80.1516	121.366	1.59911	-2.20613	0.253779	0.226705	0.429244	2.10666
Ind32	1	S	0	15.6441	54.5794	74.4357	92.3129	0.553939	0.672677	-0.740254	-0.374641	0.389075	0.589047
Ind33	1	S	0	4.64827	7.28052	10.4386	16.6254	0.530633	-0.310302	0.195098	-0.00122595	-0.0441794	-0.39635
Ind34	1	S	0	no	no	no	no	0.697314	-0.52938	-1.05819	-1.81991	-1.41204	0.268588
Ind35	1	S	0	13.225	15.1562	15.417	23.682	-1.43209	-1.98993	-1.96757	0.405886	-0.405058	0.37443
Ind36	1	S	0	5.62853	44.2751	125.479	135.433	0.810242	-1.74819	-0.325384	0.833529	-0.865596	2.24608
Ind37	1	S	0	34.4549	37.4998	40.3203	40.903	1.42592	-0.815179	-0.928721	0.205721	-0.792411	0.750975
Ind38	1	S	0	3.14136	6.72046	11.1558	11.3178	-0.118082	-0.185564	-1.09217	-1.6078	-0.168185	-0.113094
Ind39	2	E	1	no	9.5624	10.5489	13.0074	-0.171883	0.206892	-0.489854	-1.0877	0.788986	-0.648046
Ind40	2	E	1	no	18.6539	21.4889	36.8284	0.0531951	-0.0547986	0.829598	1.12564	0.13054	0.997351
Ind41	2	E	1	no	0.664731	10.7435	37.035	1.63766	-0.806363	0.489023	-0.178259	0.544046	0.773867
Ind42	2	E	1	no	2.10262	21.2607	22.0315	-0.592541	-0.532062	-1.11033	1.46562	0.619879	0.485507
Ind43	2	E	1	no	0.745383	1.95881	2.87431	-0.0394892	1.54142	0.184956	0.0122662	-0.190698	-0.305319
Ind44	2	S	0	15.6407	15.6755	15.8658	15.8913	-1.22663	0.252094	-0.323964	-0.820493	-0.540013	-1.90465
Ind45	2	S	0	6.34701	7.21229	7.95216	10.1032	-0.275796	-0.0781323	1.16772	0.635759	-1.1957	-0.293135
Ind46	2	S	0	3.95345	4.17526	4.78667	8.66861	1.4737	-0.318389	1.41746	-1.85641	-0.797512	-0.179767
Ind47	2	S	0	4.75687	6.27104	6.74548	7.79445	0.304855	-0.332622	0.40612	0.305889	-0.699939	-0.202437
Ind48	2	S	0	32.5789	35.4429	38.6809	193.848	-0.112966	-0.266585	0.358327	-1.37849	0.0580286	1.47759
Ind49	2	S	0	19.8213	154.743	225.357	254.393	-2.13862	-2.12962	-0.317606	0.210021	0.38388	2.40923
Ind50	2	S	0	9.07269	11.2486	11.437	14.0183	-1.63459	0.0372912	-0.521064	0.103891	0.337776	-0.962111
Ind51	2	S	0	1.37434	8.95074	11.0617	14.0517	-2.75314	1.14869	0.242039	1.817	0.170485	0.165573
Ind52	2	S	0	2.74795	14.8583	40.4286	86.3819	-0.881289	0.49682	-0.365002	0.144953	0.812944	0.0936777
Ind53	2	S	0	35.2272	37.0523	40.0912	41.0341	-1.94562	0.495248	-0.273724	-1.91631	-0.686184	0.308828
Ind54	2	S	0	24.7538	27.368	60.4241	64.8745	1.00625	-0.319974	0.628219	-0.266681	0.591376	0.291715
Ind55	2	S	0	1.48704	4.81792	22.3511	28.7932	1.2069	-0.959408	1.07186	0.879048	1.12001	0.182891
Ind56	2	S	0	4.83184	18.9291	22.9869	37.6877	1.45602	-0.254355	1.6526	0.498761	0.411953	0.348472
Ind57	2	S	0	1.44116	4.26592	7.41244	68.5489	1.72043	0.545796	2.19509	0.102232	0.367348	0.48353
Ind58	2	S	0	2.15228	19.3174	34.6528	79.2407	1.54373	-0.907688	1.32646	-0.442733	0.434045	0.168361
Ind59	2	S	0	29.9107	30.2117	30.8673	30.9382	-0.646308	-0.123824	-0.327639	-1.81119	-1.01418	-0.334375
Ind60	2	S	0	8.06194	10.1807	12.4599	18.6696	1.79228	-1.45042	-0.186608	-0.8586	-2.1824	1.20428
Ind61	2	S	0	3.87336	4.3243	4.87522	5.82408	0.67905	-1.1099	1.33311	-0.315697	-0.711905	-0.054603
Ind62	2	S	0	5.9673	6.77264	7.35959	9.00825	1.25833	0.533831	0.670145	0.164793	-0.564629	-0.603261
Ind63	2	S	0	1.06867	1.44219	8.17324	14.8069	1.08662	-0.275751	1.5115	0.367694	-0.0577437	0.38794
Ind64	3	E	1	no	6.59098	18.828	41.2206	0.400789	-0.117982	-0.0732993	-0.475815	0.71182	1.16356
