id,sire,dam,group,donor,It,Rt,g_a,g_e,type,init. comp.
1,.,.,NA,NA,NA,NA,0.686276,-0.498794,sire,NA
2,.,.,NA,NA,NA,NA,-0.811354,-0.200472,sire,NA
3,.,.,NA,NA,NA,NA,-0.667372,0.630406,sire,NA
4,.,.,NA,NA,NA,NA,-0.0777818,-0.277969,sire,NA
5,.,.,NA,NA,NA,NA,0.685789,-0.0506436,sire,NA
6,.,.,NA,NA,NA,NA,-0.352797,-0.685546,sire,NA
7,.,.,NA,NA,NA,NA,-0.420122,-0.292293,sire,NA
8,.,.,NA,NA,NA,NA,-0.234611,2.09977,sire,NA
9,.,.,NA,NA,NA,NA,-0.152786,-0.911663,sire,NA
10,.,.,NA,NA,NA,NA,0.383058,-0.568225,sire,NA
11,.,.,NA,NA,NA,NA,0.458404,-0.440567,sire,NA
12,.,.,NA,NA,NA,NA,0.511206,0.700963,sire,NA
13,.,.,NA,NA,NA,NA,-0.474918,-0.567308,sire,NA
14,.,.,NA,NA,NA,NA,-0.227119,0.279921,sire,NA
15,.,.,NA,NA,NA,NA,-0.637486,-0.713639,sire,NA
16,.,.,NA,NA,NA,NA,-1.31171,0.204773,sire,NA
17,.,.,NA,NA,NA,NA,0.304036,-1.17332,sire,NA
18,.,.,NA,NA,NA,NA,0.299159,-0.188824,sire,NA
19,.,.,NA,NA,NA,NA,0.037466,1.17041,sire,NA
20,.,.,NA,NA,NA,NA,0.642495,0.331067,sire,NA
21,.,.,NA,NA,NA,NA,-0.107278,-0.290405,sire,NA
22,.,.,NA,NA,NA,NA,-1.25185,1.52309,sire,NA
23,.,.,NA,NA,NA,NA,0.381989,-0.262505,sire,NA
24,.,.,NA,NA,NA,NA,-0.8967,0.105352,sire,NA
25,.,.,NA,NA,NA,NA,-0.690931,-0.587477,sire,NA
26,.,.,NA,NA,NA,NA,0.91143,-0.384574,sire,NA
27,.,.,NA,NA,NA,NA,0.950883,0.0334217,sire,NA
28,.,.,NA,NA,NA,NA,-0.174527,0.0642355,sire,NA
29,.,.,NA,NA,NA,NA,0.583512,0.087987,sire,NA
30,.,.,NA,NA,NA,NA,-0.0287396,-0.522908,sire,NA
31,.,.,NA,NA,NA,NA,0.249489,0.246157,sire,NA
32,.,.,NA,NA,NA,NA,-0.522639,0.632645,sire,NA
33,.,.,NA,NA,NA,NA,-0.693332,0.106047,sire,NA
34,.,.,NA,NA,NA,NA,0.34895,0.436356,sire,NA
35,.,.,NA,NA,NA,NA,-0.235836,-0.198065,sire,NA
36,.,.,NA,NA,NA,NA,-0.273421,-0.415176,sire,NA
37,.,.,NA,NA,NA,NA,-0.0502224,0.024684,sire,NA
38,.,.,NA,NA,NA,NA,0.79704,-0.789103,sire,NA
39,.,.,NA,NA,NA,NA,0.468179,0.729538,sire,NA
40,.,.,NA,NA,NA,NA,-1.01347,-0.423759,sire,NA
41,.,.,NA,NA,NA,NA,0.674484,0.34573,sire,NA
42,.,.,NA,NA,NA,NA,-0.275771,-0.343624,sire,NA
43,.,.,NA,NA,NA,NA,1.22882,0.826087,sire,NA
44,.,.,NA,NA,NA,NA,-0.403766,0.470591,sire,NA
45,.,.,NA,NA,NA,NA,-0.846833,0.229015,sire,NA
46,.,.,NA,NA,NA,NA,0.408379,0.797566,sire,NA
47,.,.,NA,NA,NA,NA,1.62496,-0.481127,sire,NA
48,.,.,NA,NA,NA,NA,-0.312286,-0.683843,sire,NA
49,.,.,NA,NA,NA,NA,-0.217894,-0.869879,sire,NA
50,.,.,NA,NA,NA,NA,-0.625877,-0.157975,sire,NA
51,.,.,NA,NA,NA,NA,-0.269153,-0.185376,sire,NA
52,.,.,NA,NA,NA,NA,-0.133235,-1.53691,sire,NA
53,.,.,NA,NA,NA,NA,-0.211845,0.336931,sire,NA
54,.,.,NA,NA,NA,NA,-0.380127,-0.24178,sire,NA
55,.,.,NA,NA,NA,NA,-0.316277,-1.37216,sire,NA
56,.,.,NA,NA,NA,NA,-0.362393,-1.14581,sire,NA
57,.,.,NA,NA,NA,NA,-0.162214,0.51959,sire,NA
58,.,.,NA,NA,NA,NA,0.799713,-0.285652,sire,NA
59,.,.,NA,NA,NA,NA,-0.647796,-0.0206485,sire,NA
60,.,.,NA,NA,NA,NA,-0.630896,-0.410692,sire,NA
61,.,.,NA,NA,NA,NA,0.629321,1.25678,sire,NA
62,.,.,NA,NA,NA,NA,0.745112,-0.0336068,sire,NA
63,.,.,NA,NA,NA,NA,-0.138289,0.715297,sire,NA
64,.,.,NA,NA,NA,NA,0.533801,-0.22568,sire,NA
65,.,.,NA,NA,NA,NA,0.218853,-0.312329,sire,NA
66,.,.,NA,NA,NA,NA,0.979002,0.762658,sire,NA
67,.,.,NA,NA,NA,NA,0.163641,-0.877303,sire,NA
68,.,.,NA,NA,NA,NA,0.795702,0.618448,sire,NA
69,.,.,NA,NA,NA,NA,-0.0735155,1.13097,sire,NA
70,.,.,NA,NA,NA,NA,0.693531,-0.577352,sire,NA
71,.,.,NA,NA,NA,NA,0.354711,0.0537989,sire,NA
72,.,.,NA,NA,NA,NA,0.016597,0.609426,sire,NA
73,.,.,NA,NA,NA,NA,-0.379579,0.87506,sire,NA
74,.,.,NA,NA,NA,NA,1.07054,0.429267,sire,NA
75,.,.,NA,NA,NA,NA,1.66261,0.419525,sire,NA
76,.,.,NA,NA,NA,NA,-0.444246,0.145455,sire,NA
77,.,.,NA,NA,NA,NA,1.51227,0.472623,sire,NA
78,.,.,NA,NA,NA,NA,0.321243,0.17767,sire,NA
79,.,.,NA,NA,NA,NA,0.982493,1.39818,sire,NA
80,.,.,NA,NA,NA,NA,1.62579,-1.04891,sire,NA
81,.,.,NA,NA,NA,NA,0.154273,-0.827138,sire,NA
82,.,.,NA,NA,NA,NA,-0.386233,0.284823,sire,NA
83,.,.,NA,NA,NA,NA,-0.0717075,-0.610359,sire,NA
84,.,.,NA,NA,NA,NA,0.104968,-0.0078741,sire,NA
85,.,.,NA,NA,NA,NA,0.839137,1.16547,sire,NA
