ID	Group	Init. Comp.	It	Rt	g_a
Ind0	NA	NA	NA	NA	0.101919
Ind1	NA	NA	NA	NA	-0.680603
Ind2	NA	NA	NA	NA	-1.09612
Ind3	NA	NA	NA	NA	1.84479
Ind4	NA	NA	NA	NA	-0.202175
Ind5	NA	NA	NA	NA	-0.36462
Ind6	NA	NA	NA	NA	0.667572
Ind7	NA	NA	NA	NA	-1.74768
Ind8	NA	NA	NA	NA	0.247219
Ind9	NA	NA	NA	NA	-1.13041
Ind10	NA	NA	NA	NA	1.86335
Ind11	NA	NA	NA	NA	0.672428
Ind12	NA	NA	NA	NA	-0.471539
Ind13	NA	NA	NA	NA	-1.68557
Ind14	NA	NA	NA	NA	0.466922
Ind15	NA	NA	NA	NA	0.602549
Ind16	NA	NA	NA	NA	-0.163713
Ind17	NA	NA	NA	NA	0.730059
Ind18	NA	NA	NA	NA	-1.47337
Ind19	NA	NA	NA	NA	-1.09475
Ind20	NA	NA	NA	NA	0.308766
Ind21	NA	NA	NA	NA	-0.37691
Ind22	NA	NA	NA	NA	0.401738
Ind23	NA	NA	NA	NA	2.44894
Ind24	NA	NA	NA	NA	-1.01663
Ind25	NA	NA	NA	NA	0.413027
Ind26	NA	NA	NA	NA	-0.107079
Ind27	NA	NA	NA	NA	-0.211472
Ind28	NA	NA	NA	NA	0.7325
Ind29	NA	NA	NA	NA	0.916088
Ind30	NA	NA	NA	NA	-0.28299
Ind31	NA	NA	NA	NA	0.668456
Ind32	NA	NA	NA	NA	1.46384
Ind33	NA	NA	NA	NA	-0.931673
Ind34	NA	NA	NA	NA	-0.337493
Ind35	NA	NA	NA	NA	0.121466
Ind36	NA	NA	NA	NA	1.0006
Ind37	NA	NA	NA	NA	-1.89896
Ind38	NA	NA	NA	NA	0.424595
Ind39	NA	NA	NA	NA	0.619215
Ind40	NA	NA	NA	NA	1.29217
Ind41	NA	NA	NA	NA	-0.782923
Ind42	NA	NA	NA	NA	0.258501
Ind43	NA	NA	NA	NA	-1.03664
Ind44	NA	NA	NA	NA	-0.721789
Ind45	NA	NA	NA	NA	0.198675
Ind46	NA	NA	NA	NA	0.862431
Ind47	NA	NA	NA	NA	2.08433
Ind48	NA	NA	NA	NA	1.13111
Ind49	NA	NA	NA	NA	0.634175
Ind50	NA	NA	NA	NA	-1.78047
Ind51	NA	NA	NA	NA	-1.50363
Ind52	NA	NA	NA	NA	-0.693135
Ind53	NA	NA	NA	NA	1.69293
Ind54	NA	NA	NA	NA	-0.336325
Ind55	NA	NA	NA	NA	1.09168
Ind56	NA	NA	NA	NA	0.0669584
Ind57	NA	NA	NA	NA	-1.22427
Ind58	NA	NA	NA	NA	-0.0530109
Ind59	NA	NA	NA	NA	-0.957988
Ind60	NA	NA	NA	NA	1.10487
Ind61	NA	NA	NA	NA	2.22497
Ind62	NA	NA	NA	NA	-0.726993
Ind63	NA	NA	NA	NA	-2.0678
Ind64	NA	NA	NA	NA	0.510538
Ind65	NA	NA	NA	NA	1.22843
Ind66	NA	NA	NA	NA	-0.275007
Ind67	NA	NA	NA	NA	1.65448
