ID	Parent 1	Parent 2
Ind0	.	.
Ind1	.	.
Ind2	.	.
Ind3	.	.
Ind4	.	.
Ind5	.	.
Ind6	.	.
Ind7	.	.
Ind8	.	.
Ind9	.	.
Ind10	.	.
Ind11	.	.
Ind12	.	.
Ind13	.	.
Ind14	.	.
Ind15	.	.
Ind16	.	.
Ind17	.	.
Ind18	.	.
Ind19	.	.
Ind20	.	.
Ind21	.	.
Ind22	.	.
Ind23	.	.
Ind24	.	.
Ind25	.	.
Ind26	.	.
Ind27	.	.
Ind28	.	.
Ind29	.	.
Ind30	.	.
Ind31	.	.
Ind32	.	.
Ind33	.	.
Ind34	.	.
Ind35	.	.
Ind36	.	.
Ind37	.	.
Ind38	.	.
Ind39	.	.
Ind40	.	.
Ind41	.	.
Ind42	.	.
Ind43	.	.
Ind44	.	.
Ind45	.	.
Ind46	.	.
Ind47	.	.
Ind48	.	.
Ind49	.	.
Ind50	.	.
Ind51	.	.
Ind52	.	.
Ind53	.	.
Ind54	.	.
Ind55	.	.
Ind56	.	.
Ind57	.	.
Ind58	.	.
Ind59	.	.
Ind60	.	.
Ind61	.	.
Ind62	.	.
Ind63	.	.
Ind64	.	.
Ind65	.	.
Ind66	.	.
Ind67	.	.
Ind68	.	.
Ind69	.	.
Ind70	.	.
Ind71	.	.
Ind72	.	.
Ind73	.	.
Ind74	.	.
Ind75	.	.
Ind76	.	.
Ind77	.	.
Ind78	.	.
Ind79	.	.
Ind80	.	.
Ind81	.	.
Ind82	.	.
Ind83	.	.
Ind84	.	.
Ind85	.	.
Ind86	.	.
Ind87	.	.
Ind88	.	.
Ind89	.	.
Ind90	.	.
Ind91	.	.
Ind92	.	.
Ind93	.	.
Ind94	.	.
Ind95	.	.
Ind96	.	.
Ind97	.	.
Ind98	.	.
Ind99	.	.
Ind100	Ind1	.
Ind101	Ind58	.
Ind102	Ind94	.
Ind103	Ind55	.
Ind104	Ind89	.
Ind105	Ind0	.
Ind106	Ind79	.
Ind107	Ind89	.
Ind108	Ind22	.
Ind109	Ind43	.
Ind110	Ind43	.
Ind111	Ind41	.
Ind112	Ind21	.
Ind113	Ind91	.
Ind114	Ind85	.
Ind115	Ind13	.
Ind116	Ind99	.
Ind117	Ind80	.
Ind118	Ind40	.
Ind119	Ind26	.
Ind120	Ind29	.
Ind121	Ind39	.
Ind122	Ind76	.
Ind123	Ind19	.
Ind124	Ind74	.
Ind125	Ind16	.
Ind126	Ind72	.
Ind127	Ind63	.
Ind128	Ind77	.
Ind129	Ind37	.
Ind130	Ind38	.
Ind131	Ind79	.
Ind132	Ind96	.
Ind133	Ind32	.
Ind134	Ind35	.
Ind135	Ind86	.
Ind136	Ind32	.
Ind137	Ind15	.
Ind138	Ind76	.
Ind139	Ind55	.
Ind140	Ind59	.
Ind141	Ind19	.
Ind142	Ind97	.
Ind143	Ind80	.
Ind144	Ind11	.
Ind145	Ind82	.
Ind146	Ind93	.
Ind147	Ind11	.
Ind148	Ind63	.
Ind149	Ind34	.
